Measurement,Column,Plate,Well,Row,Sample,Value,Mean,Std
Meas A,10,3_11939,C10,C,3S-O_CAA,374.0,321.7500,106.3026
Meas A,11,3_11939,C11,C,CAA,351.0,314.5000,142.6149
Meas A,2,3_11939,D02,D,1M-O_Glc,397.0,337.5000,160.4005
Meas A,3,3_11939,D03,D,2M-O_Glc,323.0,297.5000,134.6365
Meas A,4,3_11939,D04,D,3M-O_Glc,438.0,323.7500,144.4239
Meas A,5,3_11939,D05,D,1P-O_Glc,366.0,304.0000,106.1854
Meas A,6,3_11939,D06,D,2P-O_Glc,373.0,348.7500,128.6918
Meas A,7,3_11939,D07,D,3P-O_Glc,345.0,325.5000,129.6521
Meas A,8,3_11939,D08,D,1S-O_Glc,353.0,335.7500,130.0035
Meas A,9,3_11939,D09,D,2S-O_Glc,280.0,282.2500,121.1483
Meas A,10,3_11939,D10,D,3S-O_Glc,384.0,328.2500,132.4950
Meas A,11,3_11939,D11,D,Glc,353.0,314.2500,157.3391
Meas A,2,3_11939,E02,E,1M-M_CAA,450.0,360.7500,162.0563
Meas A,3,3_11939,E03,E,2M-M_CAA,327.0,325.7500,106.0515
Meas A,4,3_11939,E04,E,3M-M_CAA,425.0,321.0000,126.0238
Meas A,5,3_11939,E05,E,1P-M_CAA,319.0,310.2500,171.4592
Meas A,6,3_11939,E06,E,2P-M_CAA,352.0,351.7500,177.9558
Meas A,7,3_11939,E07,E,3P-M_CAA,444.0,337.7500,124.2481
Meas A,8,3_11939,E08,E,1S-M_CAA,331.0,300.5000,145.8687
